INDIR,FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,Fmin,Fmean,Fmax,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,TOP1MATCH,TOP1DIST,TOP2MATCH,TOP2DIST,TOP3MATCH,TOP3DIST,VOCALIZATIONS,MANUAL ID*,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione1_25.04-03.05.2020\Data,LT1-ALKA_20200430_051202.wav,0,1321.258667,1.578667,445.313,535.714,679.688,2020-04-30,05:34:03.258,5,2020-04-29,17:34:03.258,17,cluster.4,1.326259,cluster.3,1.364264,cluster.2,1.365371,1,Lyrtet_rugolio,,,,,YeJNIE1AsjAYmqS8xM9qMA==
D:\LYRTET2020,Riederalp\LT2_VS_645670-137586\0504_0516\Data,LT2_20200504_053000.wav,0,3301.482666,1.194667,445.313,556.818,726.563,2020-05-04,06:25:01.482,6,2020-05-03,18:25:01.482,18,cluster.4,1.326262,cluster.0,1.328306,cluster.2,1.333202,1,Lyrtet_rugolio,,,,,S6bxALcwO2ykOtPOh83pFQ==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione1_25.04-03.05.2020\Data,LT1-ALKA_20200427_091602.wav,0,1297.130615,1.962667,421.875,532.752,703.125,2020-04-27,09:37:39.130,9,2020-04-26,21:37:39.130,21,cluster.4,1.326266,cluster.2,1.351566,cluster.0,1.35456,1,Lyrtet_rugolio,,,,,di3TCSecA4ytd7cT6zmDXQ==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione1_25.04-03.05.2020\Data,LT1-ALKA_20200430_061202.wav,0,1132.927979,1.92,445.313,559.796,703.125,2020-04-30,06:30:54.926,6,2020-04-29,18:30:54.926,18,cluster.4,1.326274,cluster.5,1.388332,cluster.3,1.417663,1,Lyrtet_rugolio,,,,,u9pVqLKIfKCcgKO8W6W6Eg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione1_25.04-03.05.2020\Data,LT1-ALKA_20200427_071602.wav,0,1324.906616,1.856,445.313,561.161,703.125,2020-04-27,07:38:06.905,7,2020-04-26,19:38:06.905,19,cluster.4,1.326279,cluster.0,1.373531,cluster.2,1.374098,1,Lyrtet_rugolio,,,,,eK4rBI83qlCFkOlJQjdP9Q==
D:\LYRTET2020,Riederalp\LT2_VS_645670-137586\0504_0516\Data,LT2_20200516_053000.wav,0,296.533325,1.728,421.875,534.105,679.688,2020-05-16,05:34:56.533,5,2020-05-15,17:34:56.533,17,cluster.4,1.326284,cluster.1,1.373817,cluster.2,1.381766,1,Lyrtet_rugolio,,,,,6SquXUJJMXdMx6QD6d3YYA==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione1_25.04-03.05.2020\Data,LT1-ALKA_20200427_071602.wav,0,1832.874634,1.429333,492.188,568.08,703.125,2020-04-27,07:46:34.874,7,2020-04-26,19:46:34.874,19,cluster.4,1.326285,cluster.5,1.384748,cluster.3,1.451961,1,Lyrtet_rugolio,,,,,eK4rBI83qlCFkOlJQjdP9Q==
D:\LYRTET2020,Riederalp\LT2_VS_645670-137586\0504_0516\Data,LT2_20200515_053000.wav,0,652.906677,1.664,445.313,558.239,703.125,2020-05-15,05:40:52.905,5,2020-05-14,17:40:52.905,17,cluster.4,1.326287,cluster.0,1.347206,cluster.2,1.349907,1,Lyrtet_rugolio,,,,,fyoCGrFOO0/urhldTQaeUg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200506_080302.wav,0,40.170666,1.728,421.875,546.875,726.563,2020-05-06,08:03:42.170,8,2020-05-05,20:03:42.170,20,cluster.4,1.326296,cluster.2,1.353481,cluster.1,1.355898,1,Lyrtet_rugolio,,,,,m7BVUgNtb2XuAe6yIGaUfA==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200507_090102.wav,0,396.693329,3.605333,468.75,565.625,750,2020-05-07,09:07:38.692,9,2020-05-06,21:07:38.692,21,cluster.4,1.326307,cluster.5,1.380632,cluster.2,1.427406,1,Lyrtet_rugolio,,,,,EOfysLaMilCsK0oBuwv7SA==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200504_080502.wav,0,119.040001,1.984,421.875,553.125,703.125,2020-05-04,08:07:01.040,8,2020-05-03,20:07:01.040,20,cluster.4,1.326322,cluster.0,1.341125,cluster.1,1.347203,1,Lyrtet_rugolio,,,,,N4enHBi2NgcjnDX0mv3fNg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200505_080402.wav,0,130.282669,2.026667,421.875,543.997,703.125,2020-05-05,08:06:12.282,8,2020-05-04,20:06:12.282,20,cluster.4,1.326324,cluster.5,1.371516,cluster.1,1.375791,1,Lyrtet_rugolio,,,,,7gT5s4uD/8+E0yya5+M5jw==
D:\LYRTET2020,Riederalp\LT2_VS_645670-137586\0504_0516\Data,LT2_20200504_063000.wav,0,34.560001,2.218667,421.875,534.555,632.813,2020-05-04,06:30:34.560,6,2020-05-03,18:30:34.560,18,cluster.4,1.32633,cluster.1,1.372542,cluster.2,1.381013,1,Lyrtet_rugolio,,,,,CBYQnuF1Lqg+6lVhw6tuQg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione1_25.04-03.05.2020\Data,LT1-ALKA_20200427_081602.wav,0,1577.088013,0.981333,492.188,581.676,703.125,2020-04-27,08:42:19.088,8,2020-04-26,20:42:19.088,20,cluster.4,1.326341,cluster.1,1.371535,cluster.2,1.380934,1,Lyrtet_rugolio,,,,,Wn2HBew9kLoqe26Yzw2TPA==
