Data,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020
LT2_start,,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,,,,,,,
LT2_end,,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,16:00,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VS_start,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30
VS_end,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00,10:00
TI_start,3:34,3:31,3:30,3:28,3:26,3:24,3:23,3:21,3:19,03:18,3:16,3:14,3:13,3:11,3:10,3:08,3:07,3:05,3:04,03:02,3:01,02:59,2:58,2:57,2:55,2:54,2:53,2:52,2:50,2:49,2:48,2:47,2:46,x,x,x,x
TI_end,10:04,10:01,10:00,9:58,9:56,9:54,9:53,9:51,9:49,9:48,9:46,9:44,9:43,9:41,9:40,9:38,9:37,9:35,9:34,9:32,9:31,9:29,9:28,9:27,9:25,9:24,9:23,9:22,9:20,9:19,9:18,9:17,9:16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inter_start,3:34,3:31,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30,3:30
inter_end,10:00,10:00,10:00,9:58,9:56,9:55,9:53,9:51,9:49,9:48,9:46,9:44,9:43,9:41,9:40,9:38,9:37,9:35,9:34,9:32,9:31,9:29,9:28,9:27,9:25,9:24,9:23,9:22,9:20,9:19,9:18,9:17,9:16,10:00,10:00,10:00,10:00
