INDIR,FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,Fmin,Fmean,Fmax,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,TOP1MATCH,TOP1DIST,TOP2MATCH,TOP2DIST,TOP3MATCH,TOP3DIST,VOCALIZATIONS,MANUAL ID*,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200506_070302.wav,0,3327.546631,1.28,562.5,1056.818,1125,2020-05-06,07:58:29.545,7,2020-05-05,19:58:29.545,19,cluster.24,0.934216,cluster.25,0.93648,cluster.26,1.043673,1,Lyrtet_female,,,,,CbZltvQk+BLWyLPmGYLMRg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200506_070302.wav,0,1108.274658,1.2,750,1052.885,1125,2020-05-06,07:21:30.274,7,2020-05-05,19:21:30.274,19,cluster.24,0.949104,cluster.25,1.062814,cluster.23,1.137199,1,Lyrtet_female,,,,,CbZltvQk+BLWyLPmGYLMRg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200506_070302.wav,0,1103.946655,1.76,750,1109.797,1125,2020-05-06,07:21:25.946,7,2020-05-05,19:21:25.946,19,cluster.25,0.383662,cluster.24,0.682346,cluster.26,0.938482,1,Lyrtet_female,,,,,CbZltvQk+BLWyLPmGYLMRg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200506_070302.wav,0,243.511993,0.834667,750,1125,1125,2020-05-06,07:07:05.511,7,2020-05-05,19:07:05.511,19,cluster.25,0.385251,cluster.24,0.668755,cluster.26,0.939323,1,Lyrtet_female,,,,,CbZltvQk+BLWyLPmGYLMRg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200506_070302.wav,0,3279.511963,0.269333,562.5,1125,1125,2020-05-06,07:57:41.512,7,2020-05-05,19:57:41.512,19,cluster.25,0.550671,cluster.26,0.745016,cluster.24,0.849364,1,Lyrtet_female,,,,,CbZltvQk+BLWyLPmGYLMRg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200506_070302.wav,0,2011.728027,0.277333,750,1125,1125,2020-05-06,07:36:33.728,7,2020-05-05,19:36:33.728,19,cluster.25,1.026189,cluster.24,1.059602,cluster.26,1.176763,1,Lyrtet_female,,,,,CbZltvQk+BLWyLPmGYLMRg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200508_060002.wav,0,2643.159912,0.226667,750,1125,1125,2020-05-08,06:44:05.160,6,2020-05-07,18:44:05.160,18,cluster.25,1.026809,cluster.24,1.059919,cluster.26,1.177218,1,Lyrtet_female,,,,,558SMM4MssJ22WN8Dv4pPA==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200506_070302.wav,0,3285.357422,0.882667,750,1125,1125,2020-05-06,07:57:47.356,7,2020-05-05,19:57:47.356,19,cluster.26,0.480281,cluster.25,0.681677,cluster.27,0.761811,1,Lyrtet_female,,,,,CbZltvQk+BLWyLPmGYLMRg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200507_070102.wav,0,528.845337,0.24,750,1125,1125,2020-05-07,07:09:50.844,7,2020-05-06,19:09:50.844,19,cluster.26,0.539008,cluster.27,0.677759,cluster.25,0.899529,1,Lyrtet_female,,,,,BN/jpxkcBbtkff3EOxXryg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200506_070302.wav,0,3287.490723,0.389333,750,1087.5,1125,2020-05-06,07:57:49.490,7,2020-05-05,19:57:49.490,19,cluster.26,0.715677,cluster.27,0.812367,cluster.25,0.969197,1,Lyrtet_female,,,,,CbZltvQk+BLWyLPmGYLMRg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200506_070302.wav,0,162.349335,0.648,750,1125,1125,2020-05-06,07:05:44.348,7,2020-05-05,19:05:44.348,19,cluster.26,0.911518,cluster.19,1.026558,cluster.25,1.032826,1,Lyrtet_female,,,,,CbZltvQk+BLWyLPmGYLMRg==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione1_25.04-03.05.2020\Data,LT1-ALKA_20200427_061602.wav,0,3038.162598,0.549333,750,1125,1125,2020-04-27,07:06:40.161,7,2020-04-26,19:06:40.161,19,cluster.27,0.218244,cluster.26,0.479878,cluster.28,0.851099,1,Lyrtet_female,,,,,f7X8RgJORYqRSqh29PmINA==
D:\LYRTET2020,Lucomagno\LT1_TI_707785-153131\Sostituzione2_04.05-18.05.2020\Data,LT1-ALKA_20200506_070302.wav,0,1652.106689,1.584,562.5,1122.5,1125,2020-05-06,07:30:34.106,7,2020-05-05,19:30:34.106,19,cluster.27,0.225601,cluster.26,0.457551,cluster.28,0.84265,1,Lyrtet_female,,,,,CbZltvQk+BLWyLPmGYLMRg==
